Multiple Choice Questions for: https://www.sciencenewsforstudents.org/article/ai-can-learn-real-world-skills-playing-video-games
""
Word,,Question type,Points,Question Text,Answer 1,Answer 2,Answer 3,Answer 4
vying,,MC,5,A. Simon and Julian were ____ for her attention all through dinner. B. There'll be a lot of people ____ for those posts.,shatter,allowed,*vying,reserved
hopeful,,MC,5,"A. Mr Norris said he was ____ that his request would elicit a positive response. B. Despite threats of strike action, the management remain ____ that an agreement can be reached.",*hopeful,across,teammate,julian
seasoned,,MC,5,A. He likes to eat mutton which was ____ with garlic. B. Coat the fish with ____ flour.,*seasoned,data,alphastars,characters
onset,,MC,5,A. The drug must be taken from the ____ of the infection. B. Her life was finally extinguished by the ____ of liver complaint.,*onset,contained,guided,particular
invade,,MC,5,A. He ordered the army to ____ at dawn. B. When did the Romans ____ Britain?,earns,life,someones,*invade
ais,,MC,5,"A. By June, all AIs had confirmed that they were Year 200compliant. B. The system of AIS is a new system that is composed of AIS shore station system, AIS ship station system and transmission system, It' s an important part in VTS.",*ais,distractions,baby,parashar
comeback,,MC,5,A. The miniskirt made a ____ in the late 1980s. B. The player is on the ____ trail after a serious knee injury.,*comeback,loyal,gives,salesforce
shook,,MC,5,A. I ____ with terror whenever I was about to fly in an aeroplane. B. The explosion ____ the foundations of the houses nearby.,interpretable,designs,*shook,feeling
crushed,,MC,5,A. The car was completely ____ under the truck. B. The army quickly ____ the revolt.,loyal,*crushed,mimic,caring
copenhagen,,MC,5,"A. So, Maria's showing you the sights of Copenhagen, is she? B. The competition will be held in Copenhagen next year.",coachguided,*copenhagen,hopes,delivered
inquiring,,MC,5,A. Someone has been ____ for you. B. I'm ____ after any information the library might have on future city planning.,aaai,openai,happen,*inquiring
simulate,,MC,5,A. Computer software can be used to ____ conditions on the sea bed. B. A sheet of metal was shaken to ____ the noise of thunder.,silent,overpower,joined,*simulate
distraction,,MC,5,A. Work was a welcome ____ from her problems at home. B. Their national ____ is going to the disco.,tasty,member,*distraction,adapted
unwieldy,,MC,5,A. A piano is a very ____ item to get down a flight of stairs. B. This machine is too ____ to move.,constantly,foersters,*unwieldy,might
coordinating,,MC,5,A. The Minister will have responsibility for ____ childcare policy. B. A number of charities are ____ their efforts to distribute food to the region.,computer,*coordinating,software,defenses
shouting,,MC,5,A. I was left ____ abuse as the car sped off. B. We were ____ for an encore.,basically,group,*shouting,temperature
surroundings,,MC,5,A. We are averse to such noisy ____. B. He switched on the light and examined his ____.,unwieldy,*surroundings,using,sciences
reinforcement,,MC,5,A. The minister's statement provides ____ for the view that tax cuts are likely in the budget. B. The general threw ____ into the battle.,collaborating,*reinforcement,combat,scientific
interacting,,MC,5,"A. Millions of people want new, simplified ways of ____ with a computer. B. They feel they are ____ productively with elderly patients.",players,conclude,*interacting,allows
teammate,,MC,5,"A. Then ____ Joel Zide of Northridge quickened the pace to reach the five-fish plateau first. B. He recovered, but a ____ had to step in for the medal ceremony.",adjective,multitask,arxiv,*teammate
loyal,,MC,5,A. We assured him of our ____ support. B. I don't feel ____ to this company any longer.,*loyal,picking,create,almost
wont,,MC,5,A. Old use and ____ legs about the fire.  B. He was ____ to say that children are lazy.,reported,step,*wont,second
