version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade 1 Frequency,,//Question Type,//Points,//Question Text,//Answer Choice 1,//Answer Choice 2,//Answer Choice 3,//Answer Choice 4
lesson,general,1,367,,MC,5,A. I just complete the piano____.        B. The boy has learned a hard ____ that he will not forget. ,*lesson,shape,explain,large
each,general,1,246,,MC,5,"A. When you run, ____ foot leaves the ground before the other comes down. B. We ____ wanted the bedroom with the balcony, so we tossed a coin to decide.",*each,large,math,crop
solve,general,1,237,,MC,5,"A. Just calm down - shouting won't ____ anything! B. I've been trying to ____ this problem all week, but I still haven't cracked it.",matter,continent,volunteer,*solve
shape,general,1,229,,MC,5,A. Kim's birthday cake was in the ____ of a train. B. This T-shirt has been washed so many times that it's lost its ____.,graph,scientist,tadpole,*shape
sentence,general,1,225,,MC,5,"A. Your conclusion is good, but the final ____ is too long and complicated. B. He got a heavy/light ____.",dam,dissolve,*sentence,seed
grow,general,1,136,,MC,5,A. Children ____ so quickly. B. The labour force is expected to ____ by two percent next year.,citizen,*grow,geography,capital
vocabulary,general,1,119,,MC,5,A. By the age of two a child will have a ____ of about two hundred words. B. Every week our Spanish teacher gives us a list of ____ to learn.,state,*vocabulary,language,diagram
compare,general,1,112,,MC,5,"A. If you ____ house prices in the two areas, it's quite amazing how different they are. B. You can't ____ the two cities - they're totally different.",tiger,*compare,suburb,diagram
chart,general,1,110,,MC,5,A. There is a ____ on the classroom wall showing the relative heights of all the children. B. The sales ____ shows a distinct decline in the past few months.,grow,solid,*chart,history
science,general,1,103,,MC,5,A. Advances in medical ____ mean that people are living longer. B. Advances in ____ and technology are opening the way for new treatments.,*science,wetland,mayor,continent
inquiry,general,1,95,,MC,5,A. Citizens have demanded a full ____ into the government's handling of the epidemic. B. The Competitions Commission will hold an ____ into the incident.,below,vote,material,*inquiry
addition,general,1,94,,MC,5,"A. Twice a week the children are tested in basic mathematical skills such as ____ and subtraction. B. In ____ to his apartment in Manhattan, he has a villa in Italy and a castle in Scotland.",reptile,detail,*addition,citizen
essential,general,1,88,,MC,5,A. Government support will be ____ if the project is to succeed. B. There is ____ work to be done before the building can be re-occupied.,grace,flow,*essential,wheat
pattern,general,1,86,,MC,5,A. The ____ of family life has been changing over recent years. B. A ____ is beginning to emerge from our analysis of the accident data.,reptile,*pattern,discover,addition
explain,general,1,79,,MC,5,A. Please could you ____ why you're so late. B. Molly asked the teacher if she could ____ herself a little more clearly.,fossil,each,*explain,sentence
below,general,1,68,,MC,5,A. From the top of the skyscraper the cars ____ us looked like insects. B. The author's name was printed ____ the title.,unite,*below,erosion,below
observe,general,1,61,,MC,5,"A. The role of scientists is to ____ and describe the world, not to try to control it. B. The guards failed to ____ who delivered the package.",stem,strategy,*observe,topic
activity,general,1,56,,MC,5,A. There was a lot of ____ in preparation for the Queen's visit. B. There was a sudden flurry of ____ when the director walked in.,nonliving,environment,*activity,strategy
strategy,general,1,52,,MC,5,A. The president held an emergency meeting to discuss military ____ with the Pentagon yesterday. B. Their marketing ____ for the product involves obtaining as much free publicity as possible.,*strategy,trade,energy,plant
alike,general,1,48,,MC,5,"A. Friends and family ____ were devastated by the news of her death. B. As babies, the twins were so ____ that I just couldn't tell them apart.",goods,*alike,complete,principal
resource,general,1,47,,MC,5,A. The country's greatest ____ is the dedication of its workers. B. This book is an indispensable ____ for researchers.,matter,cube,envision,*resource
describe,general,1,46,,MC,5,A. Could you ____ your attacker? B. Let me ____ how it happened.,liquid,*describe,vote,shell
detail,general,1,46,,MC,5,A. She insisted on telling me every single ____ of what they did to her in hospital. B. I was just admiring the ____ in the doll's house - even the tins of food have labels on them.,cycle,survive,*detail,mass
envision,general,1,46,,MC,5,A. He ____ed a partnership between business and government. B. The company ____s adding at least five stores next year.,capital,habitat,liquid,*envision
large,general,1,45,,MC,5,"A. We didn't expect such a ____ number of people to attend the concert. B. We've made good progress, but there's still a ____ amount of work to be done.",*large,mammal,atlas,topic
complete,general,1,42,,MC,5,A. He only needs two more cards to ____ the set. B. All she needed to ____ her happiness was a baby.,compare,technology,topic,*complete
model,general,1,40,,MC,5,A. The educational system was a ____ for those of many other countries. B. The developer plans to build a ____ community on the site.,ant,*model,strategy,thermometer
topic,general,1,38,,MC,5,A. We seem to have exhausted this ____ of conversation . B. An article on this ____ would once have been considered off limits.,alike,natural,*topic,activity
natural,general,1,37,,MC,5,A. He died from ____ causes. B. Floods and earthquakes are ____ disasters.,dam,celebration,solve,*natural
independent,general,1,36,,MC,5,"A. They all made the same comment, quite ____ of each other. B. Belize became fully ____ from Britain in 1981.",atlas,*independent,constitution,native
predict,general,1,34,,MC,5,A. It's still not possible to accurately ____ the occurrence of earthquakes. B. No one can ____ when the disease will strike again.,vocabulary,gravity,symbol,*predict
symbol,general,1,34,,MC,5,A. A heart shape is the ____ of love. B. The wheel in the Indian flag is a ____ of peace.,statue,citizen,*symbol,estimate
