version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
,,,,,,,,,,,
Word,Domain,Grade,Grade Frequency,,//Question Type,//Points,//Question Text,//Answer Choice 1,//Answer Choice 2,//Answer Choice 3,//Answer Choice 4
vying,,,,,MC,5,A. Simon and Julian were ____ for her attention all through dinner. B. There'll be a lot of people ____ for those posts.,workarounds,didnt,*vying,cannot
hopeful,,,,,MC,5,"A. Mr Norris said he was ____ that his request would elicit a positive response. B. Despite threats of strike action, the management remain ____ that an agreement can be reached.",*hopeful,ive,onset,selfreliant
seasoned,,,,,MC,5,A. He likes to eat mutton which was ____ with garlic. B. Coat the fish with ____ flour.,copenhagen,*seasoned,shouting,testbeds
onset,,,,,MC,5,A. The drug must be taken from the ____ of the infection. B. Her life was finally extinguished by the ____ of liver complaint.,theyre,*onset,facebook,wnschs
invade,,,,,MC,5,A. He ordered the army to ____ at dawn. B. When did the Romans ____ Britain?,simulated,doorway,teamcooking,*invade
ais,,,,,MC,5,"A. By June, all AIs had confirmed that they were Year 200compliant. B. The system of AIS is a new system that is composed of AIS shore station system, AIS ship station system and transmission system, It' s an important part in VTS.",*ais,deepmind,rearranged,knowledgegathering
comeback,,,,,MC,5,A. The miniskirt made a ____ in the late 1980s. B. The player is on the ____ trail after a serious knee injury.,chooses,overpower,onset,*comeback
shook,,,,,MC,5,A. I ____ with terror whenever I was about to fly in an aeroplane. B. The explosion ____ the foundations of the houses nearby.,crews,admits,*shook,shook
crushed,,,,,MC,5,A. The car was completely ____ under the truck. B. The army quickly ____ the revolt.,*crushed,coachguided,salesforce,jams
copenhagen,,,,,MC,5,"A. So, Maria's showing you the sights of Copenhagen, is she? B. The competition will be held in Copenhagen next year.",*copenhagen,selfdriving,minecraft,pointers
inquiring,,,,,MC,5,A. Someone has been ____ for you. B. I'm ____ after any information the library might have on future city planning.,creators,*inquiring,testbeds,londonbased
simulate,,,,,MC,5,A. Computer software can be used to ____ conditions on the sea bed. B. A sheet of metal was shaken to ____ the noise of thunder.,chooses,*simulate,obstacles,comeback
distraction,,,,,MC,5,A. Work was a welcome ____ from her problems at home. B. Their national ____ is going to the disco.,comeback,sebastian,wont,*distraction
unwieldy,,,,,MC,5,A. A piano is a very ____ item to get down a flight of stairs. B. This machine is too ____ to move.,parashar,quicker,foersters,*unwieldy
coordinating,,,,,MC,5,A. The Minister will have responsibility for ____ childcare policy. B. A number of charities are ____ their efforts to distribute food to the region.,creators,fivematch,*coordinating,calif
shouting,,,,,MC,5,A. I was left ____ abuse as the car sped off. B. We were ____ for an encore.,workarounds,*shouting,seasoned,shatter
surroundings,,,,,MC,5,A. We are averse to such noisy ____. B. He switched on the light and examined his ____.,*surroundings,starcraft,selfdriving,gamecontrolled
reinforcement,,,,,MC,5,A. The minister's statement provides ____ for the view that tax cuts are likely in the budget. B. The general threw ____ into the battle.,*reinforcement,decisionmaking,distraction,sebastian
interacting,,,,,MC,5,"A. Millions of people want new, simplified ways of ____ with a computer. B. They feel they are ____ productively with elderly patients.",cannot,*interacting,fleets,workarounds
teammate,,,,,MC,5,"A. Then ____ Joel Zide of Northridge quickened the pace to reach the five-fish plateau first. B. He recovered, but a ____ had to step in for the medal ceremony.",cleverness,*teammate,teammates,creators
loyal,,,,,MC,5,A. We assured him of our ____ support. B. I don't feel ____ to this company any longer.,chooses,simulated,*loyal,calculates
wont,,,,,MC,5,A. Old use and ____ legs about the fire.  B. He was ____ to say that children are lazy.,earns,*wont,parashars,distraction
centralized,,,,,MC,5,A. France is the archetype of the ____ nation-state. B. The administration of city schools was ____ last year.,worldclass,parashar,*centralized,selfreliant
